office code,effect ive date,job title,hourly rate,social security number,first name,middle initial,last name,birth date,street address,apartment,city,state,zip code,phone number,Email Address,w-4,witholding,additional amount,exempt,ee oc,eeoc 2
Chicago,,Senior Teapot Maker,$20.00 ,000-00-0000,Celeste,J,Collins,4/26/1992,2995 Hartland Avenue,,Chicago,IL,60634,9203365480,ccollins@teapots.com,,,,,,
,,,,000-00-0000,Celeste,J,Collins,,2996 Hartland Avenue,,Chicago,IL,60634,,,single,2,,,,
,11/8/2017,,,000-00-0000,Celeste,J,Collins,4/26/1992,2997 Hartland Avenue,,Chicago,IL,60634,9203365480,ccollins@teapots.com,,,,,,
,,,,000-00-0000,Celeste,J,Collins,,2998 Hartland Avenue,,Chicago,IL,60634,,,,,,,,
,,,,,Celeste,J,Collins,,2999 Hartland Avenue,,Chicago,IL,60634,9203365480,ccollins@teapots.com,,,,,,
,,,,,Celeste,J,Collins,,,,,,,,,,,,,Female,Black
Chicago,,Teapot Quality Control Officer,$38.00 ,000-00-0000,Michael,,Wells,2/7/1970,2023 Turkey Pen Lane,,Chicago,IL,60639,3344938932,mwells@teapots.com,,,,,,
,,,,000-00-0000,Michael,,Wells,,2023 Turkey Pen Lane,,Chicago,IL,60639,,,married,2,,,,
,12/1/2017,,,000-00-0000,Michael,,Wells,2/7/1970,2023 Turkey Pen Lane,,Chicago,IL,60639,3344938932,mwells@teapots.com,,,,,,
,,,,000-00-0000,Michael,,Wells,,2023 Turkey Pen Lane,,Chicago,IL,60639,,,,,,,,
,,,,,Michael,,Wells,,2023 Turkey Pen Lane,,Chicago,IL,60639,3344938932,mwells@teapots.com,,,,,,
,,,,,Michael,,Wells,,,,,,,,,,,,,Male,Black
Denver,,Teapot Sales,$30.00 ,000-00-0000,Minnie,Q,Williams,2/10/1984,3878 Spirit Drive,,Denver,CO,80209,3869382782,mwilliams@teapots.com,,,,,,
,,,,000-00-0000,Minnie,Q,Williams,,3878 Spirit Drive,,Denver,CO,80209,,,single,2,,1,,
,12/3/2017,,,000-00-0000,Minnie,Q,Williams,2/10/1984,3878 Spirit Drive,,Denver,CO,80209,3869382782,mwilliams@teapots.com,,,,,,
,,,,000-00-0000,Minnie,Q,Williams,,3878 Spirit Drive,,Denver,CO,80209,,,,,,,,
,,,,,Minnie,Q,Williams,,3878 Spirit Drive,,Denver,CO,80209,3869382782,mwilliams@teapots.com,,,,,,
,,,,,Minnie,Q,Williams,,,,,,,,,,,,,Female,White
